date,code,faction,long,short,net
20260529,CU,外资(高盛+摩根),0.0,0.0,0.0
20260529,CU,主力(国君+东证+中财),71429.0,62943.0,8486.0
20260529,CU,偏产业(金瑞+五矿+光大),30773.0,80975.0,-50202.0
20260601,CU,杭州帮(永安),11887.0,772.0,11115.0
20260601,CU,外资(高盛+摩根),0.0,0.0,0.0
20260601,CU,主力(国君+东证+中财),70618.0,62073.0,8545.0
20260601,CU,偏产业(金瑞+五矿+光大),30242.0,81504.0,-51262.0
20260602,CU,杭州帮(永安),13951.0,779.0,13172.0
20260602,CU,外资(高盛+摩根),0.0,0.0,0.0
20260602,CU,主力(国君+东证+中财),78449.0,62062.0,16387.0
20260602,CU,偏产业(金瑞+五矿+光大),29556.0,83076.0,-53520.0
20260603,CU,杭州帮(永安),13933.0,785.0,13148.0
20260603,CU,外资(高盛+摩根),0.0,0.0,0.0
20260603,CU,主力(国君+东证+中财),77185.0,61170.0,16015.0
20260603,CU,偏产业(金瑞+五矿+光大),26785.0,84497.0,-57712.0
20260604,CU,杭州帮(永安),12584.0,776.0,11808.0
20260604,CU,外资(高盛+摩根),0.0,0.0,0.0
20260604,CU,主力(国君+东证+中财),72237.0,60650.0,11587.0
20260604,CU,偏产业(金瑞+五矿+光大),28932.0,81120.0,-52188.0
20260605,CU,杭州帮(永安),13766.0,778.0,12988.0
20260605,CU,外资(高盛+摩根),0.0,0.0,0.0
20260605,CU,主力(国君+东证+中财),69642.0,58550.0,11092.0
20260605,CU,偏产业(金瑞+五矿+光大),29457.0,81907.0,-52450.0
20260608,CU,杭州帮(永安),12110.0,785.0,11325.0
20260608,CU,外资(高盛+摩根),0.0,0.0,0.0
20260608,CU,主力(国君+东证+中财),69324.0,62032.0,7292.0
20260608,CU,偏产业(金瑞+五矿+光大),31254.0,77510.0,-46256.0
20260609,CU,杭州帮(永安),12378.0,791.0,11587.0
20260609,CU,外资(高盛+摩根),0.0,0.0,0.0
20260609,CU,主力(国君+东证+中财),68469.0,60778.0,7691.0
20260609,CU,偏产业(金瑞+五矿+光大),29372.0,77327.0,-47955.0
20260610,CU,杭州帮(永安),13169.0,773.0,12396.0
20260610,CU,外资(高盛+摩根),0.0,0.0,0.0
20260610,CU,主力(国君+东证+中财),67598.0,62800.0,4798.0
20260610,CU,偏产业(金瑞+五矿+光大),30191.0,74579.0,-44388.0
20260611,CU,杭州帮(永安),10791.0,818.0,9973.0
20260611,CU,外资(高盛+摩根),0.0,0.0,0.0
20260611,CU,主力(国君+东证+中财),65637.0,64042.0,1595.0
20260611,CU,偏产业(金瑞+五矿+光大),31678.0,72135.0,-40457.0
20260612,CU,杭州帮(永安),12160.0,827.0,11333.0
20260612,CU,外资(高盛+摩根),0.0,0.0,0.0
20260612,CU,主力(国君+东证+中财),68222.0,62398.0,5824.0
20260612,CU,偏产业(金瑞+五矿+光大),28720.0,74725.0,-46005.0
20260615,CU,杭州帮(永安),12528.0,834.0,11694.0
20260615,CU,外资(高盛+摩根),0.0,0.0,0.0
20260615,CU,主力(国君+东证+中财),70580.0,61776.0,8804.0
20260615,CU,偏产业(金瑞+五矿+光大),27820.0,78610.0,-50790.0
20260616,CU,杭州帮(永安),12152.0,835.0,11317.0
20260616,CU,外资(高盛+摩根),0.0,0.0,0.0
20260616,CU,主力(国君+东证+中财),66693.0,60804.0,5889.0
20260616,CU,偏产业(金瑞+五矿+光大),26443.0,76383.0,-49940.0
20260617,CU,杭州帮(永安),12256.0,840.0,11416.0
20260617,CU,外资(高盛+摩根),0.0,0.0,0.0
20260617,CU,主力(国君+东证+中财),67386.0,60146.0,7240.0
20260617,CU,偏产业(金瑞+五矿+光大),25979.0,75937.0,-49958.0
20260618,CU,杭州帮(永安),13554.0,908.0,12646.0
20260618,CU,外资(高盛+摩根),0.0,0.0,0.0
20260618,CU,主力(国君+东证+中财),66355.0,61116.0,5239.0
20260618,CU,偏产业(金瑞+五矿+光大),26972.0,75648.0,-48676.0
20260622,CU,杭州帮(永安),13773.0,997.0,12776.0
20260622,CU,外资(高盛+摩根),0.0,0.0,0.0
20260622,CU,主力(国君+东证+中财),65732.0,61691.0,4041.0
20260622,CU,偏产业(金瑞+五矿+光大),25336.0,74737.0,-49401.0
20260623,CU,杭州帮(永安),12328.0,995.0,11333.0
20260623,CU,外资(高盛+摩根),0.0,0.0,0.0
20260623,CU,主力(国君+东证+中财),63231.0,66149.0,-2918.0
20260623,CU,偏产业(金瑞+五矿+光大),27852.0,70006.0,-42154.0
20260624,CU,杭州帮(永安),13307.0,997.0,12310.0
20260624,CU,外资(高盛+摩根),0.0,0.0,0.0
20260624,CU,主力(国君+东证+中财),63373.0,68248.0,-4875.0
20260624,CU,偏产业(金瑞+五矿+光大),31335.0,70715.0,-39380.0
20260625,CU,杭州帮(永安),12939.0,1162.0,11777.0
20260625,CU,外资(高盛+摩根),0.0,0.0,0.0
20260625,CU,主力(国君+东证+中财),64519.0,70089.0,-5570.0
